Proveedor,Razón social,ID de contrato,Producto o servicio,Tipo de contratación,Vigencia,Monto
Telefonía Móvil,MSC,"Código identificador, Capacidad de procesamiento en la Hora Pico (para MSC 2G), Capacidad de procesamiento en la Hora Pico (para MSC 3G), Capacidad en términos de Busy Hour Erlang (para MSC 2G), Capacidad en términos de Busy Hour Erlang (para MSC 3G), Fabricante, Modelo, Puertos E1 (para MSC 2G), Puertos E1 (para MSC 3G), Puertos E1 (para MSC 4G), Puertos Ethernet (para MSC 2G), Puertos Ethernet (para MSC 3G), Puertos Ethernet (para MSC 4G), Puertos STM1 (para MSC 2G), Puertos STM1 (para MSC 3G), Puertos STM1 (para MSC 4G), Utilización","DGRIRST, DGRT, UCE",Infraestructura Activa,Por evento,17
Telefonía Móvil,NodeB,"Código identificador, Banda de frecuencias utilizadas para el enlace ascendente, Banda de frecuencias utilizadas para el enlace descendente, Número de RRUs por sitio, Número de sectores habilitados en el Nodo B, Número de vecinos Inter-Tecnología definidos, Número de vecinos Intra-Tecnología definidos, Potencia de transmisión del RRU, Sensibilidad de recepción, Tecnologías Celulares Habilitadas","DGRIRST, DGRT, UCE",Infraestructura Activa,Semestral,10
Telefonía Móvil,PCRF,"Código identificador, Fabricante, Modelo",DGRT,Infraestructura Activa,Semestral,3
Telefonía Móvil,P-GW,"Código identificador, Fabricante, Modelo",DGRT,Infraestructura Activa,Semestral,3
Telefonía Móvil,Repetidor,"Código identificador, Figura de Ruido, Ganancia de Antena Donadora, Ganancia máxima del sistema, PIRE",DGRT,Infraestructura Activa,Semestral,5
Telefonía Móvil,RNC,"Código identificador, Capacidad física de RNC's, Capacidad física de RNC's, Fabricante, Modelo","DGRIRST, DGRT, UCE",Infraestructura Activa,Semestral,5
Telefonía Móvil,RRU GSM,"Código identificador, Figura de Ruido, Número de portadoras por RRU, Número de RRUs por sitio, Potencia de RRU dedicada para GSM",DGRT,Infraestructura Activa,Semestral,5
Telefonía Móvil,SDP,"Código identificador, Capacidad de los SDP's","DGRIRST, UCE",Infraestructura Activa,Anual,2
Telefonía Móvil,Sector GSM,"Código identificador, Fabricante, Número de TRX Instalados",DGRT,Infraestructura Activa,Semestral,3
Telefonía Móvil,Sector LTE,Código identificador,"DGRT, UCE",Infraestructura Activa,Semestral,1
Telefonía Móvil,Sector WCDMA,"Código identificador, PSC",DGRT,Infraestructura Activa,Semestral,2
Telefonía Móvil,SGSN,"Código identificador, Capacidad del SGSN, Fabricante, Modelo","DGRIRST, DGRT, UCE",Infraestructura Activa,Semestral,4
Telefonía Móvil,S-GW,"Código identificador, Fabricante, Modelo",DGRT,Infraestructura Activa,Semestral,3
Telefonía Móvil,SMSC,"Código identificador, Capacidad del SMSC","DGRIRST, UCE",Infraestructura Activa,Semestral,2
Telefonía Móvil,Torres,"Código identificador, Altura , Carga Máxima, Tipo de torre, Viento máximo admisible, Altura del edificio","DGCI, DGRT",Infraestructura Pasiva,Semestral,6
Telefonía Móvil,Transcodificadores,Código identificador,DGRIRST,Infraestructura Activa,Semestral,1
Telefonía Móvil,VLR,"Código identificador, Fabricante, Modelo",DGRT,Infraestructura Activa,Semestral,3
Telefonía Móvil,Emplazamiento,"Código identificador, Nombre del arrendatario",DGCI,Medio de transmisión,Semestral,2
Telefonía Móvil,Enlaces,"Código identificador, Capacidad de los enlaces de backhaul, Capacidad de los enlaces de BSC - MSC, Capacidad de los enlaces de la red troncal, Capacidad de los enlaces de RNC - MSC, Longitud de los enlaces de la red troncal, Topología de los enlaces de backhaul, Topología de los enlaces de BSC - MSC, Topología de los enlaces de RNC - MSC","DGRIRST, UCE",Medio de transmisión,Semestral,9
Telefonía Móvil,Puntos de interconexión,"Código identificador, Capacidad de puertos IP, Capacidad de puertos TDM, Número de puertos para interconexión IP, Número de puertos para interconexión TDM, Puntos de interconexión por tecnología., Puntos de interconexión por tecnología.","DGRIRST, UCE",Medio de transmisión,Por evento,7
